,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier,time,year,month
4617,-110.386,24.696,24.696,28.225,-110.386,-126.874,2002MX-Bmu-00837,15:21:47,2002,3
4618,-110.503,24.597,24.597,15.967,-110.503,-72.036,2002MX-Bmu-00837,12:03:37,2002,3
4619,-110.51999999999998,24.5,24.5,25.013,-110.52,-108.118,2002MX-Bmu-00837,02:11:56,2002,3
4620,-110.405,24.849,24.849,26.556,-110.405,-118.345,2002MX-Bmu-00837,12:42:45,2002,3
4621,-110.39499999999998,22.683,22.683,13.437,-110.395,-151.611,2002MX-Bmu-00837,02:17:24,2002,4
4622,-111.856,23.032,23.032,21.961,-111.856,-117.055,2002MX-Bmu-00837,02:32:06,2002,4
4623,-112.12900000000002,23.363,23.363,26.08,-112.129,-123.56,2002MX-Bmu-00837,12:55:07,2002,4
4624,-112.7,23.93,23.93,25.422,-112.7,-105.587,2002MX-Bmu-00837,02:09:57,2002,4
4625,-113.5,25.941,25.941,26.426,-113.5,-115.784,2002MX-Bmu-00837,15:03:46,2002,4
4626,-112.88299999999998,25.706,25.706,31.946,-112.883,-141.42,2002MX-Bmu-00837,15:54:42,2002,4
4627,-113.143,25.976,25.976,27.319,-113.143,-119.596,2002MX-Bmu-00837,15:14:17,2002,4
4628,-114.977,27.507,27.507,30.971,-114.977,-131.779,2002MX-Bmu-00837,15:42:14,2002,4
4629,-115.26,27.885,27.885,25.455,-115.26,-126.91,2002MX-Bmu-00837,02:54:23,2002,4
4630,-115.507,28.197,28.197,37.004,-115.507,-156.559,2002MX-Bmu-00837,15:17:57,2002,4
4631,-115.62099999999998,28.928,28.928,31.147,-115.621,-105.096,2002MX-Bmu-00837,02:11:07,2002,4
4632,-114.76,28.144,28.144,32.291,-114.76,-135.181,2002MX-Bmu-00837,15:50:16,2002,4
4633,-115.25,28.383,28.383,27.796,-115.25,-112.405,2002MX-Bmu-00837,15:02:20,2002,4
4634,-115.668,28.346,28.346,29.906,-115.668,-108.047,2002MX-Bmu-00837,02:13:40,2002,4
4635,-115.607,26.02,26.02,31.942,-115.607,-87.354,2002MX-Bmu-00837,23:16:32,2002,4
4636,-114.498,25.48,25.48,23.837,-114.498,-122.391,2002MX-Bmu-00837,02:44:28,2002,4
4637,-114.37,25.481,25.481,26.76,-114.37,-120.313,2002MX-Bmu-00837,12:53:15,2002,4
4638,-114.558,25.741,25.741,26.419,-114.558,-117.825,2002MX-Bmu-00837,15:10:25,2002,4
4639,-113.917,25.356,25.356,25.83,-113.917,-111.653,2002MX-Bmu-00837,02:21:57,2002,4
4640,-113.522,24.954,24.954,27.623,-113.522,-100.743,2002MX-Bmu-00837,01:59:13,2002,4
4641,-113.488,24.925,24.925,18.043,-113.488,-144.319,2002MX-Bmu-00837,02:12:12,2002,4
4642,-113.559,25.174,25.174,21.732,-113.559,-97.866,2002MX-Bmu-00837,12:05:50,2002,4
4643,-112.324,25.084,25.084,19.862,-112.324,-88.997,2002MX-Bmu-00837,12:50:28,2002,5
4644,-112.048,24.301,24.301,17.876,-112.048,-83.496,2002MX-Bmu-00837,12:36:45,2002,5
4645,-112.072,24.102,24.102,26.694,-112.072,-124.403,2002MX-Bmu-00837,15:18:30,2002,5
4646,-111.635,23.539,23.539,22.551,-111.635,-116.316,2002MX-Bmu-00837,02:27:33,2002,5
4647,-111.446,23.239,23.239,15.787,-111.446,-78.58,2002MX-Bmu-00837,12:28:57,2002,5
4648,-110.87099999999998,23.388,23.388,31.481,-110.871,-73.647,2002MX-Bmu-00837,23:40:13,2002,5
4649,-110.338,23.424,23.424,15.149,-110.338,-73.742,2002MX-Bmu-00837,12:17:08,2002,5
4650,-110.647,23.676,23.676,13.968,-110.647,-67.09,2002MX-Bmu-00837,12:01:18,2002,5
4651,-110.775,23.526,23.526,29.278,-110.775,-83.054,2002MX-Bmu-00837,22:57:10,2002,5
4652,-110.572,23.329,23.329,27.379,-110.572,-129.387,2002MX-Bmu-00837,15:22:47,2002,5
4653,-110.423,23.409,23.409,25.139,-110.423,-118.655,2002MX-Bmu-00837,15:03:58,2002,5
4654,-110.72,23.076,23.076,16.497,-110.72,-139.924,2002MX-Bmu-00837,02:01:37,2002,5
4655,-110.838,23.258,23.258,18.835,-110.838,-91.231,2002MX-Bmu-00837,12:52:30,2002,5
4656,-110.929,23.328,23.328,30.326,-110.929,-143.943,2002MX-Bmu-00837,15:54:19,2002,5
4657,-112.202,23.851,23.851,21.316,-112.202,-123.496,2002MX-Bmu-00837,02:46:25,2002,5
4658,-112.394,24.195,24.195,25.784,-112.394,-119.959,2002MX-Bmu-00837,15:08:22,2002,5
4659,-113.451,25.666,25.666,31.374,-113.451,-85.839,2002MX-Bmu-00837,23:07:57,2002,5
4660,-113.43,25.682,25.682,29.752,-113.43,-132.707,2002MX-Bmu-00837,15:36:48,2002,5
4661,-113.628,25.834,25.834,23.214,-113.628,-126.139,2002MX-Bmu-00837,02:49:26,2002,5
4662,-113.683,25.954,25.954,19.006,-113.683,-144.681,2002MX-Bmu-00837,02:13:48,2002,5
4663,-113.59199999999998,25.999,25.999,25.667,-113.592,-115.252,2002MX-Bmu-00837,02:27:19,2002,5
4664,-113.79399999999998,25.961,25.961,24.006,-113.794,-105.35,2002MX-Bmu-00837,12:21:48,2002,5
4665,-113.96699999999998,26.739,26.739,29.797,-113.967,-99.659,2002MX-Bmu-00837,23:38:57,2002,5
4666,-114.055,26.868,26.868,21.359,-114.055,-138.859,2002MX-Bmu-00837,02:02:20,2002,5
4667,-114.063,26.866,26.866,28.962,-114.063,-104.137,2002MX-Bmu-00837,02:06:36,2002,5
4668,-116.20600000000002,30.302,30.302,32.112,-116.206,-107.262,2002MX-Bmu-00837,02:11:48,2002,5
4669,-116.59300000000002,30.929,30.929,36.336,-116.593,-89.858,2002MX-Bmu-00837,23:17:49,2002,5
4670,-116.56900000000002,31.103,31.103,37.847,-116.569,-147.535,2002MX-Bmu-00837,15:07:38,2002,5
4671,-116.602,31.128,31.128,34.724,-116.602,-134.158,2002MX-Bmu-00837,15:51:36,2002,5
4672,-116.757,31.417,31.417,24.005,-116.757,-150.755,2002MX-Bmu-00837,02:31:19,2002,5
4673,-116.79500000000002,31.542,31.542,31.303,-116.795,-115.63,2002MX-Bmu-00837,12:55:12,2002,5
4674,-116.774,31.583,31.583,30.287,-116.774,-122.335,2002MX-Bmu-00837,02:43:28,2002,5
4675,-117.002,31.872,31.872,34.671,-117.002,-103.688,2002MX-Bmu-00837,23:48:44,2002,5
4676,-116.961,31.982,31.982,26.885,-116.961,-92.351,2002MX-Bmu-00837,12:07:16,2002,5
4677,-118.116,32.515,32.515,33.75,-118.116,-124.341,2002MX-Bmu-00837,15:36:58,2002,5
4678,-117.926,33.041,33.041,32.089,-117.926,-113.28,2002MX-Bmu-00837,15:11:22,2002,5
