,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier,time,year,month
9268,-122.04500000000002,36.299,36.299,31.024,-122.045,-147.858,2005CA-Bmu-10830,02:36:40,2005,8
9269,-122.974,37.048,37.048,35.65,-122.974,-130.031,2005CA-Bmu-10830,01:59:20,2005,9
9270,-123.378,37.556,37.556,42.594,-123.378,-149.082,2005CA-Bmu-10830,15:31:16,2005,9
9271,-124.671,42.432,42.432,40.21,-124.671,-135.639,2005CA-Bmu-10830,23:00:35,2005,9
9272,-124.47,42.598,42.598,48.811,-124.47,-156.067,2005CA-Bmu-10830,12:50:07,2005,9
9273,-124.489,42.37,42.37,39.532,-124.489,-139.457,2005CA-Bmu-10830,02:14:34,2005,9
9274,-124.401,44.398,44.398,40.745,-124.401,-143.496,2005CA-Bmu-10830,02:22:18,2005,9
9275,-124.15800000000002,44.468,44.468,40.091,-124.158,-146.35,2005CA-Bmu-10830,23:18:56,2005,9
9276,-125.824,44.355,44.355,43.104,-125.824,-131.786,2005CA-Bmu-10830,02:00:34,2005,9
9277,-123.285,37.75,37.75,35.319,-123.285,-134.388,2005CA-Bmu-10830,02:05:01,2005,11
9278,-123.41,38.018,38.018,41.613,-123.41,-141.936,2005CA-Bmu-10830,15:13:45,2005,11
9279,-123.525,37.66,37.66,32.042,-123.525,-147.672,2005CA-Bmu-10830,23:35:54,2005,11
9280,-123.303,37.666,37.666,44.59,-123.303,-87.77,2005CA-Bmu-10830,23:27:37,2005,11
9281,-123.42000000000002,37.962,37.962,34.203,-123.42,-142.086,2005CA-Bmu-10830,02:19:14,2005,11
9282,-123.405,37.903,37.903,34.588,-123.405,-139.536,2005CA-Bmu-10830,23:15:49,2005,11
9283,-123.43200000000002,37.924,37.924,33.6,-123.432,-144.726,2005CA-Bmu-10830,02:26:18,2005,11
9284,-123.435,37.971,37.971,29.018,-123.435,-164.149,2005CA-Bmu-10830,23:05:03,2005,11
9285,-123.281,37.812,37.812,44.385,-123.281,-89.602,2005CA-Bmu-10830,23:32:26,2005,11
9286,-123.339,37.858,37.858,33.181,-123.339,-147.267,2005CA-Bmu-10830,02:26:35,2005,12
