,location-long,location-lat,individual-local-identifier,year,month
4711,-110.314,24.692,2002MX-Bmu-00840,2002,3
4712,-110.314,24.668,2002MX-Bmu-00840,2002,3
4713,-110.30700000000002,24.672,2002MX-Bmu-00840,2002,3
4714,-110.637,24.521,2002MX-Bmu-00840,2002,3
4715,-110.663,25.181,2002MX-Bmu-00840,2002,3
4716,-110.814,25.47,2002MX-Bmu-00840,2002,3
4717,-110.54000000000002,25.508,2002MX-Bmu-00840,2002,3
4718,-110.308,25.546,2002MX-Bmu-00840,2002,3
4719,-110.796,25.519,2002MX-Bmu-00840,2002,3
4720,-110.77100000000002,25.564,2002MX-Bmu-00840,2002,3
4721,-110.75,25.613,2002MX-Bmu-00840,2002,3
4722,-110.909,25.858,2002MX-Bmu-00840,2002,3
4723,-110.811,25.707,2002MX-Bmu-00840,2002,3
4724,-110.887,25.627,2002MX-Bmu-00840,2002,3
4725,-110.909,25.595,2002MX-Bmu-00840,2002,3
4726,-111.051,25.661,2002MX-Bmu-00840,2002,3
4727,-110.829,25.75,2002MX-Bmu-00840,2002,3
4728,-110.913,25.814,2002MX-Bmu-00840,2002,3
4729,-110.897,25.633,2002MX-Bmu-00840,2002,3
4730,-111.00799999999998,25.785,2002MX-Bmu-00840,2002,3
4731,-110.738,25.71,2002MX-Bmu-00840,2002,3
4732,-110.85899999999998,25.821,2002MX-Bmu-00840,2002,3
4733,-110.529,25.158,2002MX-Bmu-00840,2002,4
4734,-110.233,24.735,2002MX-Bmu-00840,2002,4
4735,-110.225,24.57,2002MX-Bmu-00840,2002,4
4736,-109.839,24.438,2002MX-Bmu-00840,2002,4
4737,-109.44,23.579,2002MX-Bmu-00840,2002,4
4738,-109.846,22.474,2002MX-Bmu-00840,2002,4
4739,-110.83100000000002,22.226,2002MX-Bmu-00840,2002,4
4740,-110.15,22.526,2002MX-Bmu-00840,2002,4
4741,-110.39499999999998,22.338,2002MX-Bmu-00840,2002,4
4742,-110.45600000000002,22.213,2002MX-Bmu-00840,2002,4
4743,-110.346,22.354,2002MX-Bmu-00840,2002,4
4744,-110.583,22.348,2002MX-Bmu-00840,2002,4
4745,-110.587,22.279,2002MX-Bmu-00840,2002,4
4746,-110.41899999999998,22.249,2002MX-Bmu-00840,2002,4
4747,-110.29500000000002,22.605,2002MX-Bmu-00840,2002,4
4748,-110.349,22.276,2002MX-Bmu-00840,2002,4
4749,-110.39100000000002,22.341,2002MX-Bmu-00840,2002,4
4750,-109.639,22.477,2002MX-Bmu-00840,2002,4
4751,-110.14600000000002,22.331,2002MX-Bmu-00840,2002,4
4752,-109.785,22.662,2002MX-Bmu-00840,2002,4
4753,-110.029,22.664,2002MX-Bmu-00840,2002,4
4754,-110.136,22.723,2002MX-Bmu-00840,2002,4
4755,-109.918,22.62,2002MX-Bmu-00840,2002,4
4756,-109.88299999999998,22.608,2002MX-Bmu-00840,2002,4
4757,-110.122,22.568,2002MX-Bmu-00840,2002,4
4758,-109.79399999999998,22.565,2002MX-Bmu-00840,2002,4
4759,-109.578,22.756,2002MX-Bmu-00840,2002,4
4760,-109.61700000000002,22.78,2002MX-Bmu-00840,2002,4
4761,-109.55,22.849,2002MX-Bmu-00840,2002,4
4762,-109.499,22.881,2002MX-Bmu-00840,2002,4
4763,-109.131,22.893,2002MX-Bmu-00840,2002,4
4764,-109.334,22.873,2002MX-Bmu-00840,2002,4
4765,-108.934,23.173,2002MX-Bmu-00840,2002,4
4766,-109.17000000000002,23.094,2002MX-Bmu-00840,2002,4
4767,-109.526,22.865,2002MX-Bmu-00840,2002,4
4768,-109.748,22.685,2002MX-Bmu-00840,2002,4
4769,-109.549,22.745,2002MX-Bmu-00840,2002,4
4770,-110.083,22.693,2002MX-Bmu-00840,2002,4
4771,-110.374,22.73,2002MX-Bmu-00840,2002,4
4772,-110.607,23.18,2002MX-Bmu-00840,2002,4
4773,-111.481,23.656,2002MX-Bmu-00840,2002,4
4774,-112.006,24.21,2002MX-Bmu-00840,2002,4
4775,-111.849,24.554,2002MX-Bmu-00840,2002,4
4776,-112.63,24.785,2002MX-Bmu-00840,2002,4
4777,-112.836,25.008,2002MX-Bmu-00840,2002,4
4778,-112.765,25.328,2002MX-Bmu-00840,2002,4
4779,-113.03199999999998,25.604,2002MX-Bmu-00840,2002,4
4780,-113.447,26.057,2002MX-Bmu-00840,2002,4
4781,-113.572,26.053,2002MX-Bmu-00840,2002,4
4782,-113.77100000000002,26.582,2002MX-Bmu-00840,2002,4
4783,-114.708,27.453,2002MX-Bmu-00840,2002,4
4784,-114.888,27.29,2002MX-Bmu-00840,2002,4
4785,-115.04399999999998,27.649,2002MX-Bmu-00840,2002,4
4786,-115.1,27.67,2002MX-Bmu-00840,2002,4
4787,-115.737,28.454,2002MX-Bmu-00840,2002,4
4788,-115.711,28.59,2002MX-Bmu-00840,2002,4
4789,-115.683,28.607,2002MX-Bmu-00840,2002,4
4790,-115.426,29.114,2002MX-Bmu-00840,2002,4
4791,-114.762,29.083,2002MX-Bmu-00840,2002,5
4792,-115.055,28.789,2002MX-Bmu-00840,2002,5
4793,-115.418,29.002,2002MX-Bmu-00840,2002,5
4794,-115.384,28.945,2002MX-Bmu-00840,2002,5
4795,-116.35399999999998,29.388,2002MX-Bmu-00840,2002,5
4796,-116.116,29.374,2002MX-Bmu-00840,2002,5
4797,-115.63299999999998,29.586,2002MX-Bmu-00840,2002,5
4798,-115.74200000000002,29.935,2002MX-Bmu-00840,2002,5
4799,-116.381,30.251,2002MX-Bmu-00840,2002,5
4800,-116.509,29.999,2002MX-Bmu-00840,2002,5
4801,-115.868,29.801,2002MX-Bmu-00840,2002,5
4802,-116.36700000000002,30.133,2002MX-Bmu-00840,2002,5
4803,-117.257,30.402,2002MX-Bmu-00840,2002,5
4804,-117.1,30.298,2002MX-Bmu-00840,2002,5
4805,-117.934,28.623,2002MX-Bmu-00840,2002,5
4806,-116.95499999999998,27.694,2002MX-Bmu-00840,2002,5
4807,-115.68,27.326,2002MX-Bmu-00840,2002,5
4808,-116.638,27.458,2002MX-Bmu-00840,2002,5
4809,-114.649,27.322,2002MX-Bmu-00840,2002,5
4810,-113.652,26.256,2002MX-Bmu-00840,2002,5
4811,-113.445,25.985,2002MX-Bmu-00840,2002,5
