,location-long,location-lat,individual-local-identifier,year,month
5781,-123.311,38.264,2004CA-Bmu-04175,2004,8
5782,-123.30700000000002,38.242,2004CA-Bmu-04175,2004,8
5783,-123.43200000000002,38.406,2004CA-Bmu-04175,2004,8
5784,-123.126,38.202,2004CA-Bmu-04175,2004,8
5785,-123.175,38.204,2004CA-Bmu-04175,2004,8
5786,-123.248,38.213,2004CA-Bmu-04175,2004,8
5787,-123.37099999999998,38.191,2004CA-Bmu-04175,2004,8
5788,-123.317,38.107,2004CA-Bmu-04175,2004,8
5789,-123.389,38.079,2004CA-Bmu-04175,2004,8
5790,-123.519,38.016,2004CA-Bmu-04175,2004,8
5791,-123.507,38.05,2004CA-Bmu-04175,2004,8
5792,-124.138,38.207,2004CA-Bmu-04175,2004,8
5793,-123.39600000000002,38.291,2004CA-Bmu-04175,2004,8
5794,-123.116,38.021,2004CA-Bmu-04175,2004,8
5795,-123.48399999999998,38.043,2004CA-Bmu-04175,2004,9
5796,-123.524,38.024,2004CA-Bmu-04175,2004,9
5797,-123.518,38.119,2004CA-Bmu-04175,2004,9
5798,-123.985,37.995,2004CA-Bmu-04175,2004,9
5799,-123.964,37.959,2004CA-Bmu-04175,2004,9
5800,-123.341,38.28,2004CA-Bmu-04175,2004,9
5801,-123.739,38.822,2004CA-Bmu-04175,2004,9
5802,-124.663,39.391,2004CA-Bmu-04175,2004,9
5803,-123.899,38.946,2004CA-Bmu-04175,2004,9
5804,-123.887,39.0,2004CA-Bmu-04175,2004,9
5805,-124.027,39.713,2004CA-Bmu-04175,2004,9
5806,-124.043,39.705,2004CA-Bmu-04175,2004,9
5807,-124.082,39.853,2004CA-Bmu-04175,2004,9
5808,-124.281,40.124,2004CA-Bmu-04175,2004,9
5809,-124.465,40.011,2004CA-Bmu-04175,2004,9
5810,-124.17700000000002,40.03,2004CA-Bmu-04175,2004,9
5811,-124.171,39.945,2004CA-Bmu-04175,2004,9
5812,-124.236,40.136,2004CA-Bmu-04175,2004,9
5813,-124.538,40.13,2004CA-Bmu-04175,2004,9
5814,-124.179,40.033,2004CA-Bmu-04175,2004,9
5815,-124.477,40.238,2004CA-Bmu-04175,2004,9
5816,-124.647,40.516,2004CA-Bmu-04175,2004,9
5817,-124.65300000000002,40.502,2004CA-Bmu-04175,2004,9
5818,-124.39499999999998,40.482,2004CA-Bmu-04175,2004,9
5819,-124.498,40.608,2004CA-Bmu-04175,2004,9
5820,-124.48399999999998,40.647,2004CA-Bmu-04175,2004,9
5821,-124.524,40.633,2004CA-Bmu-04175,2004,9
5822,-124.55,40.619,2004CA-Bmu-04175,2004,9
5823,-124.399,40.727,2004CA-Bmu-04175,2004,9
5824,-124.522,40.661,2004CA-Bmu-04175,2004,9
5825,-124.462,40.614,2004CA-Bmu-04175,2004,9
5826,-124.522,40.604,2004CA-Bmu-04175,2004,9
5827,-124.503,40.708,2004CA-Bmu-04175,2004,9
5828,-124.437,40.597,2004CA-Bmu-04175,2004,9
5829,-124.583,40.585,2004CA-Bmu-04175,2004,9
5830,-124.74200000000002,40.586,2004CA-Bmu-04175,2004,9
5831,-124.529,40.599,2004CA-Bmu-04175,2004,9
5832,-124.595,40.645,2004CA-Bmu-04175,2004,9
5833,-124.503,40.612,2004CA-Bmu-04175,2004,9
5834,-124.46800000000002,40.623,2004CA-Bmu-04175,2004,9
5835,-124.89100000000002,40.377,2004CA-Bmu-04175,2004,9
5836,-124.497,40.631,2004CA-Bmu-04175,2004,9
5837,-124.55700000000002,40.708,2004CA-Bmu-04175,2004,9
5838,-124.42700000000002,40.723,2004CA-Bmu-04175,2004,9
5839,-124.502,40.699,2004CA-Bmu-04175,2004,9
5840,-124.52100000000002,40.524,2004CA-Bmu-04175,2004,9
5841,-124.70600000000002,40.591,2004CA-Bmu-04175,2004,9
5842,-124.276,40.94,2004CA-Bmu-04175,2004,9
5843,-124.402,40.918,2004CA-Bmu-04175,2004,9
5844,-124.34199999999998,41.138,2004CA-Bmu-04175,2004,9
5845,-124.436,40.975,2004CA-Bmu-04175,2004,9
5846,-124.327,41.303,2004CA-Bmu-04175,2004,9
5847,-124.366,41.346,2004CA-Bmu-04175,2004,9
5848,-124.257,41.148,2004CA-Bmu-04175,2004,9
5849,-124.69,41.645,2004CA-Bmu-04175,2004,9
5850,-124.866,41.95,2004CA-Bmu-04175,2004,9
5851,-124.553,42.014,2004CA-Bmu-04175,2004,9
5852,-124.559,42.042,2004CA-Bmu-04175,2004,9
5853,-124.42700000000002,42.04,2004CA-Bmu-04175,2004,9
5854,-124.929,42.11,2004CA-Bmu-04175,2004,9
5855,-124.38299999999998,42.167,2004CA-Bmu-04175,2004,9
5856,-124.51999999999998,42.083,2004CA-Bmu-04175,2004,9
5857,-124.549,42.102,2004CA-Bmu-04175,2004,9
5858,-124.59300000000002,41.981,2004CA-Bmu-04175,2004,9
5859,-124.52800000000002,41.877,2004CA-Bmu-04175,2004,9
5860,-124.583,41.931,2004CA-Bmu-04175,2004,9
5861,-124.32,41.664,2004CA-Bmu-04175,2004,9
5862,-124.60899999999998,41.726,2004CA-Bmu-04175,2004,9
5863,-124.57,42.955,2004CA-Bmu-04175,2004,9
5864,-124.494,42.251,2004CA-Bmu-04175,2004,9
5865,-124.56,42.207,2004CA-Bmu-04175,2004,9
5866,-124.40300000000002,42.285,2004CA-Bmu-04175,2004,10
5867,-124.87099999999998,42.737,2004CA-Bmu-04175,2004,10
5868,-124.676,42.876,2004CA-Bmu-04175,2004,10
5869,-124.55200000000002,42.827,2004CA-Bmu-04175,2004,10
5870,-124.73399999999998,42.826,2004CA-Bmu-04175,2004,10
5871,-124.675,42.839,2004CA-Bmu-04175,2004,10
5872,-124.997,42.661,2004CA-Bmu-04175,2004,10
5873,-124.76,42.686,2004CA-Bmu-04175,2004,10
5874,-124.673,42.705,2004CA-Bmu-04175,2004,10
5875,-124.639,42.622,2004CA-Bmu-04175,2004,10
5876,-124.534,42.222,2004CA-Bmu-04175,2004,10
5877,-124.53300000000002,42.23,2004CA-Bmu-04175,2004,10
5878,-125.35399999999998,41.699,2004CA-Bmu-04175,2004,10
5879,-124.66899999999998,42.17,2004CA-Bmu-04175,2004,10
5880,-124.523,41.989,2004CA-Bmu-04175,2004,10
5881,-124.564,42.002,2004CA-Bmu-04175,2004,10
5882,-124.613,41.813,2004CA-Bmu-04175,2004,10
5883,-124.527,41.905,2004CA-Bmu-04175,2004,10
5884,-124.654,42.113,2004CA-Bmu-04175,2004,10
5885,-124.518,41.94,2004CA-Bmu-04175,2004,10
5886,-124.559,41.964,2004CA-Bmu-04175,2004,10
5887,-124.37900000000002,41.742,2004CA-Bmu-04175,2004,10
5888,-124.47,41.867,2004CA-Bmu-04175,2004,10
5889,-124.465,41.969,2004CA-Bmu-04175,2004,10
5890,-124.48000000000002,41.919,2004CA-Bmu-04175,2004,10
5891,-124.503,41.823,2004CA-Bmu-04175,2004,10
5892,-126.06,41.199,2004CA-Bmu-04175,2004,10
5893,-124.469,42.1,2004CA-Bmu-04175,2004,10
5894,-124.34199999999998,41.829,2004CA-Bmu-04175,2004,10
5895,-124.423,41.721,2004CA-Bmu-04175,2004,10
5896,-124.424,41.752,2004CA-Bmu-04175,2004,10
5897,-124.422,41.78,2004CA-Bmu-04175,2004,10
5898,-124.506,41.79,2004CA-Bmu-04175,2004,10
5899,-124.518,41.83,2004CA-Bmu-04175,2004,10
5900,-124.464,41.861,2004CA-Bmu-04175,2004,10
5901,-124.464,41.866,2004CA-Bmu-04175,2004,10
5902,-124.512,41.872,2004CA-Bmu-04175,2004,10
5903,-124.499,41.849,2004CA-Bmu-04175,2004,10
5904,-124.553,42.023,2004CA-Bmu-04175,2004,10
5905,-124.428,41.982,2004CA-Bmu-04175,2004,10
5906,-124.65,41.987,2004CA-Bmu-04175,2004,10
5907,-124.477,42.144,2004CA-Bmu-04175,2004,10
5908,-125.47899999999998,42.402,2004CA-Bmu-04175,2004,10
5909,-125.494,42.289,2004CA-Bmu-04175,2004,10
5910,-124.591,42.308,2004CA-Bmu-04175,2004,10
5911,-124.564,41.665,2004CA-Bmu-04175,2004,10
5912,-124.471,41.61,2004CA-Bmu-04175,2004,10
5913,-124.39600000000002,41.712,2004CA-Bmu-04175,2004,10
5914,-124.749,41.748,2004CA-Bmu-04175,2004,10
5915,-124.764,42.039,2004CA-Bmu-04175,2004,10
5916,-124.837,41.778,2004CA-Bmu-04175,2004,10
5917,-124.463,42.073,2004CA-Bmu-04175,2004,10
5918,-125.43200000000002,41.781,2004CA-Bmu-04175,2004,10
5919,-124.759,41.878,2004CA-Bmu-04175,2004,10
5920,-124.495,41.882,2004CA-Bmu-04175,2004,10
5921,-124.475,41.75,2004CA-Bmu-04175,2004,10
5922,-124.56799999999998,41.638,2004CA-Bmu-04175,2004,10
5923,-124.716,41.909,2004CA-Bmu-04175,2004,10
5924,-124.41500000000002,41.732,2004CA-Bmu-04175,2004,10
5925,-124.56900000000002,41.712,2004CA-Bmu-04175,2004,10
5926,-124.42000000000002,41.555,2004CA-Bmu-04175,2004,10
5927,-124.36,41.54,2004CA-Bmu-04175,2004,10
5928,-124.51,41.314,2004CA-Bmu-04175,2004,10
5929,-124.809,41.336,2004CA-Bmu-04175,2004,10
5930,-124.29500000000002,41.27,2004CA-Bmu-04175,2004,10
5931,-124.478,40.874,2004CA-Bmu-04175,2004,10
5932,-124.7,40.452,2004CA-Bmu-04175,2004,10
5933,-123.958,39.85,2004CA-Bmu-04175,2004,10
5934,-124.39499999999998,37.449,2004CA-Bmu-04175,2004,10
5935,-124.76999999999998,36.805,2004CA-Bmu-04175,2004,10
5936,-125.997,37.158,2004CA-Bmu-04175,2004,10
5937,-124.291,35.503,2004CA-Bmu-04175,2004,11
5938,-124.584,35.382,2004CA-Bmu-04175,2004,11
5939,-124.76999999999998,35.091,2004CA-Bmu-04175,2004,11
5940,-124.777,35.141,2004CA-Bmu-04175,2004,11
5941,-124.491,33.641,2004CA-Bmu-04175,2004,11
5942,-123.01,32.575,2004CA-Bmu-04175,2004,11
5943,-122.873,32.658,2004CA-Bmu-04175,2004,11
5944,-122.55200000000002,32.601,2004CA-Bmu-04175,2004,11
5945,-122.423,32.45,2004CA-Bmu-04175,2004,11
5946,-121.768,33.015,2004CA-Bmu-04175,2004,11
5947,-121.768,32.842,2004CA-Bmu-04175,2004,11
5948,-120.875,32.187,2004CA-Bmu-04175,2004,11
5949,-120.75,31.809,2004CA-Bmu-04175,2004,11
5950,-120.84699999999998,31.836,2004CA-Bmu-04175,2004,11
5951,-119.489,30.767,2004CA-Bmu-04175,2004,11
5952,-120.91500000000002,30.877,2004CA-Bmu-04175,2004,11
5953,-119.43200000000002,30.572,2004CA-Bmu-04175,2004,11
5954,-119.639,30.562,2004CA-Bmu-04175,2004,11
5955,-118.81,28.064,2004CA-Bmu-04175,2004,11
5956,-116.864,27.128,2004CA-Bmu-04175,2004,11
5957,-116.388,26.721,2004CA-Bmu-04175,2004,11
5958,-115.28,26.444,2004CA-Bmu-04175,2004,11
5959,-115.211,26.37,2004CA-Bmu-04175,2004,11
5960,-115.152,26.247,2004CA-Bmu-04175,2004,11
5961,-115.134,26.226,2004CA-Bmu-04175,2004,11
5962,-113.834,24.599,2004CA-Bmu-04175,2004,11
5963,-114.26,24.063,2004CA-Bmu-04175,2004,11
5964,-114.24599999999998,23.507,2004CA-Bmu-04175,2004,11
5965,-112.437,21.36,2004CA-Bmu-04175,2004,11
5966,-112.019,21.364,2004CA-Bmu-04175,2004,11
5967,-109.732,20.137,2004CA-Bmu-04175,2004,11
5968,-108.804,18.646,2004CA-Bmu-04175,2004,11
5969,-108.913,18.732,2004CA-Bmu-04175,2004,11
5970,-108.46699999999998,18.162,2004CA-Bmu-04175,2004,11
5971,-106.107,13.489,2004CA-Bmu-04175,2004,12
