,location-long,location-lat,individual-local-identifier,year,month
14872,-97.23699999999997,9.736,2008CR-Bmu-00846,2008,1
14873,-97.44,9.561,2008CR-Bmu-00846,2008,1
14874,-97.103,9.68,2008CR-Bmu-00846,2008,1
14875,-97.17899999999996,9.667,2008CR-Bmu-00846,2008,1
14876,-97.15800000000002,9.637,2008CR-Bmu-00846,2008,1
14877,-97.099,9.596,2008CR-Bmu-00846,2008,1
14878,-97.26999999999998,9.231,2008CR-Bmu-00846,2008,1
14879,-97.214,9.527,2008CR-Bmu-00846,2008,1
14880,-97.31900000000002,9.486,2008CR-Bmu-00846,2008,1
14881,-97.25599999999996,9.588,2008CR-Bmu-00846,2008,1
14882,-87.54700000000003,8.156,2008CR-Bmu-00846,2008,1
14883,-97.394,9.274,2008CR-Bmu-00846,2008,1
14884,-97.599,9.229,2008CR-Bmu-00846,2008,1
14885,-97.2,9.004,2008CR-Bmu-00846,2008,1
14886,-97.07600000000002,9.22,2008CR-Bmu-00846,2008,1
14887,-97.377,9.056,2008CR-Bmu-00846,2008,1
14888,-97.64100000000002,8.946,2008CR-Bmu-00846,2008,1
14889,-97.575,8.888,2008CR-Bmu-00846,2008,1
14890,-97.721,8.798,2008CR-Bmu-00846,2008,1
14891,-97.71800000000002,8.925,2008CR-Bmu-00846,2008,1
14892,-97.55200000000002,8.708,2008CR-Bmu-00846,2008,1
14893,-97.56,8.454,2008CR-Bmu-00846,2008,1
14894,-97.54399999999998,8.52,2008CR-Bmu-00846,2008,1
14895,-97.485,8.405,2008CR-Bmu-00846,2008,1
14896,-97.709,8.282,2008CR-Bmu-00846,2008,1
14897,-98.152,8.043,2008CR-Bmu-00846,2008,1
14898,-97.596,8.285,2008CR-Bmu-00846,2008,1
14899,-97.623,8.25,2008CR-Bmu-00846,2008,1
14900,-97.562,8.182,2008CR-Bmu-00846,2008,1
14901,-97.543,7.859,2008CR-Bmu-00846,2008,1
14902,-97.774,8.241,2008CR-Bmu-00846,2008,1
14903,-97.71500000000005,8.237,2008CR-Bmu-00846,2008,1
14904,-97.678,8.232,2008CR-Bmu-00846,2008,1
14905,-97.71800000000002,8.065,2008CR-Bmu-00846,2008,1
14906,-97.68099999999998,8.045,2008CR-Bmu-00846,2008,1
14907,-97.606,8.238,2008CR-Bmu-00846,2008,1
14908,-97.622,7.98,2008CR-Bmu-00846,2008,1
14909,-97.59000000000005,7.994,2008CR-Bmu-00846,2008,1
14910,-97.601,8.006,2008CR-Bmu-00846,2008,1
14911,-97.45100000000002,8.032,2008CR-Bmu-00846,2008,1
14912,-97.647,8.004,2008CR-Bmu-00846,2008,1
14913,-97.223,7.098,2008CR-Bmu-00846,2008,1
