,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
10449,-116.848,31.625,31.625,35.686,-116.848,-135.726,2006CA-Bmu-23039
10450,-116.849,31.64,31.64,26.624,-116.849,-92.907,2006CA-Bmu-23039
10451,-116.876,31.606,31.606,26.708,-116.876,-138.924,2006CA-Bmu-23039
10452,-116.749,31.564,31.564,27.753,-116.749,-98.5,2006CA-Bmu-23039
10453,-113.26999999999998,25.28,25.28,20.089,-113.27,-136.112,2006CA-Bmu-23039
10454,-112.715,24.007,24.007,21.251,-112.715,-124.873,2006CA-Bmu-23039
10455,-112.949,23.4,23.4,19.89,-112.949,-96.584,2006CA-Bmu-23039
10456,-112.655,23.277,23.277,19.615,-112.655,-96.076,2006CA-Bmu-23039
10457,-112.651,23.279,23.279,17.209,-112.651,-85.216,2006CA-Bmu-23039
10458,-112.755,23.745,23.745,31.588,-112.755,-75.216,2006CA-Bmu-23039
10459,-112.768,23.737,23.737,13.571,-112.768,-161.128,2006CA-Bmu-23039
10460,-112.864,23.873,23.873,16.568,-112.864,-144.752,2006CA-Bmu-23039
10461,-112.901,23.599,23.599,22.511,-112.901,-107.931,2006CA-Bmu-23039
10462,-112.626,23.579,23.579,19.918,-112.626,-98.431,2006CA-Bmu-23039
10463,-112.514,23.454,23.454,16.654,-112.514,-140.082,2006CA-Bmu-23039
10464,-112.527,23.47,23.47,28.154,-112.527,-90.038,2006CA-Bmu-23039
10465,-112.88299999999998,23.174,23.174,26.545,-112.883,-100.093,2006CA-Bmu-23039
10466,-112.154,23.522,23.522,20.14,-112.154,-96.838,2006CA-Bmu-23039
10467,-112.03,23.592,23.592,30.368,-112.03,-79.159,2006CA-Bmu-23039
10468,-111.848,23.652,23.652,18.531,-111.848,-134.179,2006CA-Bmu-23039
10469,-111.74599999999998,23.095,23.095,32.072,-111.746,-67.677,2006CA-Bmu-23039
10470,-110.243,23.175,23.175,19.372,-110.243,-92.241,2006CA-Bmu-23039
10471,-109.618,22.852,22.852,28.361,-109.618,-83.505,2006CA-Bmu-23039
10472,-108.98000000000002,23.21,23.21,17.466,-108.98,-82.004,2006CA-Bmu-23039
10473,-108.85399999999998,23.196,23.196,30.62,-108.854,-72.812,2006CA-Bmu-23039
10474,-108.173,23.232,23.232,32.561,-108.173,-151.685,2006CA-Bmu-23039
