,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier
14872,-97.23699999999997,9.736,9.736,12.103,-97.237,-86.718,2008CR-Bmu-00846
14873,-97.44,9.561,9.561,15.255,-97.44,-71.531,2008CR-Bmu-00846
14874,-97.103,9.68,9.68,10.332,-97.103,-99.925,2008CR-Bmu-00846
14875,-97.17899999999996,9.667,9.667,6.223,-97.179,-81.72,2008CR-Bmu-00846
14876,-97.15800000000002,9.637,9.637,15.936,-97.158,-123.796,2008CR-Bmu-00846
14877,-97.099,9.596,9.596,13.079,-97.099,-81.699,2008CR-Bmu-00846
14878,-97.26999999999998,9.231,9.231,17.402,-97.27,-60.029,2008CR-Bmu-00846
14879,-97.214,9.527,9.527,9.003,-97.214,-94.922,2008CR-Bmu-00846
14880,-97.31900000000002,9.486,9.486,14.272,-97.319,-117.915,2008CR-Bmu-00846
14881,-97.25599999999996,9.588,9.588,14.305,-97.256,-76.623,2008CR-Bmu-00846
14882,-87.54700000000003,8.156,8.156,10.582,-87.547,-98.887,2008CR-Bmu-00846
14883,-97.394,9.274,9.274,12.742,-97.394,-112.217,2008CR-Bmu-00846
14884,-97.599,9.229,9.229,10.235,-97.599,-93.405,2008CR-Bmu-00846
14885,-97.2,9.004,9.004,11.322,-97.2,-107.015,2008CR-Bmu-00846
14886,-97.07600000000002,9.22,9.22,8.888,-97.076,-95.688,2008CR-Bmu-00846
14887,-97.377,9.056,9.056,11.306,-97.377,-87.793,2008CR-Bmu-00846
14888,-97.64100000000002,8.946,8.946,14.301,-97.641,-73.345,2008CR-Bmu-00846
14889,-97.575,8.888,8.888,9.637,-97.575,-100.788,2008CR-Bmu-00846
14890,-97.721,8.798,8.798,5.668,-97.721,-83.854,2008CR-Bmu-00846
14891,-97.71800000000002,8.925,8.925,12.713,-97.718,-81.425,2008CR-Bmu-00846
14892,-97.55200000000002,8.708,8.708,8.17,-97.552,-95.26,2008CR-Bmu-00846
14893,-97.56,8.454,8.454,13.464,-97.56,-76.035,2008CR-Bmu-00846
14894,-97.54399999999998,8.52,8.52,13.407,-97.544,-118.484,2008CR-Bmu-00846
14895,-97.485,8.405,8.405,12.071,-97.485,-113.528,2008CR-Bmu-00846
14896,-97.709,8.282,8.282,9.14,-97.709,-93.95,2008CR-Bmu-00846
14897,-98.152,8.043,8.043,13.211,-98.152,-74.736,2008CR-Bmu-00846
14898,-97.596,8.285,8.285,10.775,-97.596,-108.465,2008CR-Bmu-00846
14899,-97.623,8.25,8.25,5.707,-97.623,-86.441,2008CR-Bmu-00846
14900,-97.562,8.182,8.182,10.129,-97.562,-88.998,2008CR-Bmu-00846
14901,-97.543,7.859,7.859,15.311,-97.543,-63.695,2008CR-Bmu-00846
14902,-97.774,8.241,8.241,9.495,-97.774,-103.255,2008CR-Bmu-00846
14903,-97.71500000000005,8.237,8.237,13.618,-97.715,-120.694,2008CR-Bmu-00846
14904,-97.678,8.232,8.232,11.424,-97.678,-83.838,2008CR-Bmu-00846
14905,-97.71800000000002,8.065,8.065,8.232,-97.718,-98.431,2008CR-Bmu-00846
14906,-97.68099999999998,8.045,8.045,12.187,-97.681,-115.128,2008CR-Bmu-00846
14907,-97.606,8.238,8.238,12.562,-97.606,-78.802,2008CR-Bmu-00846
