location-long,location-lat,individual-local-identifier,year,month
-122.40699999999998,36.981,1993CA-Bmu-00834,1993,8
-122.788,37.637,1993CA-Bmu-00834,1993,8
-122.827,37.166,1993CA-Bmu-00834,1993,9
-123.466,38.184,1993CA-Bmu-10823,1993,9
-123.41,37.141,1993CA-Bmu-10836,1993,9
-123.001,36.855,1993CA-Bmu-10836,1993,9
-122.377,36.877,1993CA-Bmu-10836,1993,9
-122.417,36.59,1993CA-Bmu-10836,1993,9
-123.316,36.725,1993CA-Bmu-10836,1993,9
-123.227,33.594,1994CA-Bmu-00848,1994,10
-120.765,34.173,1994CA-Bmu-00848,1994,10
-120.309,34.11,1994CA-Bmu-00848,1994,10
-119.946,34.135,1994CA-Bmu-00848,1994,10
-119.987,33.961,1994CA-Bmu-00848,1994,10
-120.04000000000002,34.158,1994CA-Bmu-00848,1994,10
-120.223,34.026,1994CA-Bmu-00848,1994,10
-122.779,37.744,1994CA-Bmu-10820,1994,9
-123.434,37.486,1994CA-Bmu-10820,1994,9
-123.663,37.444,1994CA-Bmu-10820,1994,9
-126.31900000000002,37.779,1994CA-Bmu-10820,1994,9
-126.949,36.866,1994CA-Bmu-10820,1994,9
-123.05599999999998,37.669,1994CA-Bmu-10821,1994,9
-123.424,36.063,1994CA-Bmu-10822,1994,9
-123.288,37.554,1994CA-Bmu-10823,1994,9
-122.58100000000002,37.44,1994CA-Bmu-10823,1994,9
-123.611,37.693,1994CA-Bmu-10823,1994,9
-122.977,37.88,1994CA-Bmu-10823,1994,9
-123.162,37.76,1994CA-Bmu-10823,1994,9
-123.344,37.761,1994CA-Bmu-10823,1994,9
-122.94799999999998,37.706,1994CA-Bmu-10823,1994,9
-123.14100000000002,37.772,1994CA-Bmu-10823,1994,9
-123.301,37.967,1994CA-Bmu-10823,1994,9
-123.15800000000002,38.396,1994CA-Bmu-10823,1994,9
-122.378,36.798,1994CA-Bmu-10823,1994,9
-122.80700000000002,37.584,1994CA-Bmu-10824,1994,9
-123.12099999999998,37.629,1994CA-Bmu-10824,1994,9
-120.458,34.237,1994CA-Bmu-10828,1994,10
-120.582,34.424,1994CA-Bmu-10828,1994,10
-121.303,34.44,1994CA-Bmu-10828,1994,10
-119.969,34.093,1994CA-Bmu-10828,1994,10
-120.168,34.134,1994CA-Bmu-10828,1994,10
-120.614,34.072,1994CA-Bmu-10828,1994,10
-120.761,34.059,1994CA-Bmu-10828,1994,10
-120.671,34.075,1994CA-Bmu-10828,1994,10
-120.41899999999998,34.438,1994CA-Bmu-10828,1994,10
-121.024,33.91,1994CA-Bmu-10828,1994,10
-120.668,34.196,1994CA-Bmu-10828,1994,10
-120.801,34.138,1994CA-Bmu-10828,1994,10
-120.47199999999998,33.725,1994CA-Bmu-10828,1994,10
-120.392,33.694,1994CA-Bmu-10828,1994,10
-120.815,33.851,1994CA-Bmu-10828,1994,10
