,location-long,location-lat,argos:lat1,argos:lat2,argos:lon1,argos:lon2,individual-local-identifier,time,year,month
1341,-119.102,32.865,32.865,40.553,-119.102,-83.557,1998CA-Bmu-10823,03:02:17,1998,9
1342,-119.15300000000002,32.806,32.806,43.578,-119.153,-175.326,1998CA-Bmu-10823,16:14:20,1998,9
1343,-119.337,32.941,32.941,39.664,-119.337,-151.719,1998CA-Bmu-10823,16:54:27,1998,9
1344,-119.25,33.319,33.319,41.356,-119.25,-158.418,1998CA-Bmu-10823,12:33:56,1998,9
1345,-119.28,33.094,33.094,31.977,-119.28,-114.021,1998CA-Bmu-10823,16:53:37,1998,9
1346,-119.372,32.872,32.872,28.19,-119.372,-142.167,1998CA-Bmu-10823,03:50:53,1998,9
1347,-119.26,32.792,32.792,39.766,-119.26,-153.528,1998CA-Bmu-10823,12:25:56,1998,9
1348,-118.836,32.779,32.779,35.215,-118.836,-130.908,1998CA-Bmu-10823,16:16:00,1998,9
1349,-118.93,32.887,32.887,30.617,-118.93,-108.538,1998CA-Bmu-10823,16:38:45,1998,9
1350,-118.98000000000002,32.987,32.987,30.181,-118.98,-132.174,1998CA-Bmu-10823,03:30:35,1998,9
1351,-119.005,32.951,32.951,34.074,-119.005,-113.206,1998CA-Bmu-10823,03:58:29,1998,9
1352,-118.985,33.041,33.041,39.089,-118.985,-148.125,1998CA-Bmu-10823,12:12:27,1998,9
1353,-118.937,32.836,32.836,29.262,-118.937,-102.428,1998CA-Bmu-10823,16:27:56,1998,9
1354,-119.459,32.777,32.777,25.775,-119.459,-152.399,1998CA-Bmu-10823,23:31:33,1998,9
1355,-118.69799999999998,32.979,32.979,32.356,-118.698,-121.668,1998CA-Bmu-10823,03:12:20,1998,9
1356,-118.974,32.931,32.931,35.523,-118.974,-106.979,1998CA-Bmu-10823,03:50:15,1998,9
1357,-118.836,32.881,32.881,37.914,-118.836,-142.939,1998CA-Bmu-10823,12:02:39,1998,9
1358,-119.846,33.488,33.488,31.279,-119.846,-108.06,1998CA-Bmu-10823,15:34:39,1998,9
1359,-119.148,32.798,32.798,26.802,-119.148,-147.433,1998CA-Bmu-10823,23:19:34,1998,9
1360,-119.09,32.956,32.956,36.786,-119.09,-101.212,1998CA-Bmu-10823,03:37:51,1998,9
1361,-119.084,32.918,32.918,36.796,-119.084,-137.186,1998CA-Bmu-10823,11:51:31,1998,9
1362,-119.09199999999998,33.022,33.022,28.372,-119.092,-98.721,1998CA-Bmu-10823,15:08:22,1998,9
1363,-119.124,33.032,33.032,38.711,-119.124,-146.693,1998CA-Bmu-10823,16:47:15,1998,9
1364,-119.084,32.958,32.958,27.918,-119.084,-141.949,1998CA-Bmu-10823,23:14:42,1998,9
1365,-119.098,32.916,32.916,38.196,-119.098,-94.81,1998CA-Bmu-10823,03:25:21,1998,9
1366,-119.066,32.895,32.895,35.632,-119.066,-131.925,1998CA-Bmu-10823,11:37:40,1998,9
1367,-119.102,32.931,32.931,36.5,-119.102,-136.282,1998CA-Bmu-10823,16:25:12,1998,9
1368,-118.936,33.14,33.14,24.32,-118.936,-160.978,1998CA-Bmu-10823,03:00:12,1998,9
1369,-119.05200000000002,32.875,32.875,39.137,-119.052,-89.145,1998CA-Bmu-10823,03:12:28,1998,9
1370,-119.051,32.905,32.905,28.977,-119.051,-137.816,1998CA-Bmu-10823,03:44:35,1998,9
1371,-119.05700000000002,32.903,32.903,34.47,-119.057,-126.496,1998CA-Bmu-10823,11:26:12,1998,9
1372,-119.089,33.005,33.005,39.055,-119.089,-149.19,1998CA-Bmu-10823,15:19:08,1998,9
1373,-119.07999999999998,33.017,33.017,34.394,-119.08,-125.722,1998CA-Bmu-10823,16:03:52,1998,9
1374,-119.441,33.064,33.064,31.526,-119.441,-126.908,1998CA-Bmu-10823,03:20:26,1998,9
1375,-119.259,33.146,33.146,33.465,-119.259,-120.58,1998CA-Bmu-10823,11:14:11,1998,9
1376,-120.744,34.095,34.095,30.247,-120.744,-102.469,1998CA-Bmu-10823,15:18:15,1998,9
1377,-120.816,34.231,34.231,32.294,-120.816,-111.87,1998CA-Bmu-10823,16:52:14,1998,9
1378,-121.025,34.64,34.64,41.794,-121.025,-156.028,1998CA-Bmu-10823,12:35:14,1998,9
1379,-120.90800000000002,34.8,34.8,38.736,-120.908,-139.227,1998CA-Bmu-10823,16:36:27,1998,9
1380,-121.04500000000002,34.781,34.781,31.278,-121.045,-104.837,1998CA-Bmu-10823,16:37:26,1998,9
1381,-120.844,34.705,34.705,44.541,-120.844,-70.202,1998CA-Bmu-10823,23:52:23,1998,9
1382,-120.77100000000002,34.728,34.728,25.805,-120.771,-162.971,1998CA-Bmu-10823,23:55:30,1998,9
1383,-121.055,34.768,34.768,30.39,-121.055,-142.622,1998CA-Bmu-10823,03:53:17,1998,9
1384,-121.063,34.857,34.857,40.903,-121.063,-150.321,1998CA-Bmu-10823,12:25:22,1998,9
1385,-121.265,34.827,34.827,40.761,-121.265,-152.134,1998CA-Bmu-10823,15:34:23,1998,9
1386,-120.757,34.929,34.929,30.004,-120.757,-98.947,1998CA-Bmu-10823,16:25:16,1998,9
1387,-121.025,34.946,34.946,38.11,-121.025,-106.321,1998CA-Bmu-10823,03:49:25,1998,9
